adr_id,title,status,decision,source_conflicts
ADR-016,Realtime,ACCEPTED,Use an application RealtimeGateway abstraction. Initial adapter may use Supabase Realtime; domain services remain provider-neutral. Persist messages/notifications before broadcast; reconnect and deduplicate by event id.,"C-016,C-020"
ADR-017,Notification delivery,ACCEPTED,"Separate Notification (user-facing intent), NotificationDelivery (per-channel attempt), NotificationPreference, and Template. Channels: in-app, email, push. Adapters are idempotent and retryable.",C-020
ADR-018,Search,ACCEPTED,P0 uses PostgreSQL full-text/trigram search behind SearchProvider interface. External search engine may replace/augment later without changing domain APIs. Sensitive/private entities are filtered before result serialization.,Derived
ADR-019,Payments boundary,ACCEPTED_WITH_GATE,"Build provider-neutral PaymentProvider and SettlementProvider interfaces, immutable internal transaction references, idempotency keys and webhook inbox. No live charges/payouts until merchant-of-record, marketplace liability, KYC and provider ADR are approved.",C-012
ADR-020,Family matching privacy,ACCEPTED,"Privacy by default: no child exact birthdate in discovery, no exact home address, coarse location only, explicit parent consent for matching, reciprocal connection before unrestricted chat, block/report controls on every connection surface.",C-014
ADR-021,Municipality analytics privacy,ACCEPTED,"Only aggregate/de-identified outputs. Default minimum cohort threshold 10, suppress smaller cells, no row-level export, no direct identifiers, scoped municipality geography, auditable export approvals. Threshold is configuration but cannot be disabled in production.",C-015
ADR-022,Localization and SEO,ACCEPTED,Public SEO pages use explicit locale prefixes /en and /no with canonical/hreflang. Authenticated /app routes are locale-neutral and use user preference. No translated slug without canonical mapping.,C-019
ADR-023,Trust and safety generation,ACCEPTED,Set56 is canonical moderation operations UI; set22 is reference for unique capabilities. Trust & Safety owns reports/cases/enforcement/appeals.,C-022
ADR-024,Operational admin scope,ACCEPTED,"Sets26–29 are P2/P3. Do not ship controls that are visual-only; each admin control requires a functioning backend capability, audit event, permission and rollback path.",C-023
ADR-025,Legal content authority,ACCEPTED,Set30 is UX/template reference only. Production legal copy must come from separately approved legal source and be versioned.,C-025
ADR-026,Artifact traceability,ACCEPTED,Keep source artifact IDs stable. Archive exact duplicate set54. Reserve absent numbering 221–230. Never renumber source screens.,"C-006,C-024"
ADR-027,Audit and domain events,ACCEPTED,Every privileged or security-sensitive mutation writes AuditLog. Cross-domain side effects use transactional outbox/domain-event pattern; consumers are idempotent.,Derived
ADR-028,Media storage,ACCEPTED,"Supabase Storage initial target behind MediaStorage interface. Uploads use signed URLs, MIME/size allowlists, malware scanning hook, image metadata stripping, ownership checks and quarantine state.",Sprint 0 + Derived
ADR-029,Analytics event contract,ACCEPTED,"Use versioned product-event taxonomy. Never send child identifiers, message text, exact address or sensitive free text to analytics. Server events are authoritative for transactions/security.",Derived
ADR-030,Soft delete and retention,ACCEPTED,Soft delete only where recovery/audit is required. Financial/audit records are append-only; privacy deletion uses tombstoning/anonymization according to retention policy and legal hold.,"C-014,C-015"
